,緯度,經度,圖示,顏色,名稱,碗　　數,得獎菜色,菜　　系,評　　審,地　　址,電　　話,geometry,index_right,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,縣市,鄉鎮區
90,25.013885,121.534098,<i class='fas fa-utensils'></i>,#198754,龍潭豆花,&#127836; (1碗),花生豆花,台式,洪子仁,100台北市中正區汀州路三段239號,,POINT (121.534098 25.013885),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
91,25.05827,121.513306,<i class='fas fa-utensils'></i>,#198754,歸綏街當歸豬腳老店,&#127836; (1碗),綜合豬腳,台式,洪子仁,103台北市大同區歸綏街181號,0920 875 630,POINT (121.513306 25.05827),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
92,25.015641,121.532639,<i class='fas fa-utensils'></i>,#198754,藍家割包,&#127836; (1碗),割包＋四神湯,台式,劉書甫,100台北市中正區羅斯福路三段316巷8弄3號,02 2368 2060,POINT (121.532639 25.015641),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
93,25.036643,121.498648,<i class='fas fa-utensils'></i>,#198754,豐原清水排骨麵,&#127836; (1碗),排骨酥麵,台式,陳亞蘭,108台北市萬華區廣州街180號,02 2302 4200,POINT (121.498648 25.036643),334,A05,63000070,臺北市,萬華區,Wanhua District,A,63000,臺北市,萬華區
94,25.064253,121.511054,<i class='fas fa-utensils'></i>,#198754,魏祥記純糖麻糬,&#127836; (1碗),花生湯＆麻糬冰,台式,婁峻碩,103台北市大同區延平北路三段30號,02 2594 2328,POINT (121.511054 25.064253),337,A09,63000060,臺北市,大同區,Datong District,A,63000,臺北市,大同區
95,25.034727,121.526774,<i class='fas fa-utensils'></i>,#198754,羅媽媽米粉湯,&#127836; (1碗),米粉湯＆黑白切,台式,王耀邦,100台北市中正區信義路二段81號,02 2351 3352,POINT (121.526774 25.034727),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
96,25.060321,121.557561,<i class='fas fa-utensils'></i>,#198754,鯛魚燒工房（台灣民生店）,&#127836; (1碗),抹茶（紅豆奶油）口味,日式,迪拉,105台北市松山區富錦街348號,02 2742 1528,POINT (121.557561 25.060321),336,A01,63000010,臺北市,松山區,Songshan District,A,63000,臺北市,松山區
97,25.005915,121.538833,<i class='fas fa-utensils'></i>,#198754,寶島肉圓店,&#127836; (1碗),肉圓,台式,沈方正,116台北市文山區羅斯福路五段136號,02 2930 5768,POINT (121.538833 25.005915),153,A11,63000080,臺北市,文山區,Wenshan District,A,63000,臺北市,文山區
98,25.028651,121.52092,<i class='fas fa-utensils'></i>,#198754,蘇杭點心店,&#127836; (1碗),桂花芝麻小包,中式,馬世芳,100台北市中正區羅斯福路二段14號,02 2394 3725,POINT (121.52092 25.028651),335,A03,63000050,臺北市,中正區,Zhongzheng District,A,63000,臺北市,中正區
99,25.020164,121.557273,<i class='fas fa-utensils'></i>,#198754,霸味薑母鴨（和平店）,&#127836; (1碗),鴨腿肉片,台式,Nick Wu吳盈憲,110台北市信義區和平東路三段371號,02 2736 2727,POINT (121.557273 25.020164),333,A17,63000020,臺北市,信義區,Xinyi District,A,63000,臺北市,信義區
100,25.025165,121.552369,<i class='fas fa-utensils'></i>,#198754,A宰羊羊肉專賣店,&#127836; (1碗),紅燒羊肉爐,台式,廖小子,106台北市大安區樂利路103號,02 8732 6739,POINT (121.552369 25.025165),152,A02,63000030,臺北市,大安區,Da'an District,A,63000,臺北市,大安區
101,25.034318,121.45288,<i class='fas fa-utensils'></i>,#198754,新莊廟街夜市潤餅捲,&#127836;&#127836; (2碗),潤餅捲,台式,Hally Chen、陳志煌,242新北市新莊區新莊路218號,0922 868 572,POINT (121.45288 25.034318),303,F01,65000050,新北市,新莊區,Xinzhuang District,F,65000,新北市,新莊區
102,25.141175,121.761404,<i class='fas fa-utensils'></i>,#198754,十二堂,&#127836; (1碗),魯肉便當,台式,曹銘宗,202基隆市中正區正豐街93號1樓,02 2462 7777,POINT (121.761404 25.141175),293,C01,10017010,基隆市,中正區,Zhongzheng District,C,10017,基隆市,中正區
103,25.137743,121.751274,<i class='fas fa-utensils'></i>,#198754,三沙灣麵線羹,&#127836; (1碗),麵線羹,台式,沈方正,202基隆市中正區中船路104號,02 2424 0588,POINT (121.751274 25.137743),293,C01,10017010,基隆市,中正區,Zhongzheng District,C,10017,基隆市,中正區
104,25.129713,121.738406,<i class='fas fa-utensils'></i>,#198754,天天來鹹粥,&#127836; (1碗),鹹粥、炸物,台式,謝維智,200基隆市仁愛區忠三路101號,,POINT (121.738406 25.129713),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
105,25.133004,121.7471,<i class='fas fa-utensils'></i>,#198754,牛膳坊,&#127836; (1碗),招牌麻辣牛肉麵,台式,曹銘宗,202基隆市中正區正義路4號,02 2463 2188,POINT (121.7471 25.133004),293,C01,10017010,基隆市,中正區,Zhongzheng District,C,10017,基隆市,中正區
106,25.133381,121.746857,<i class='fas fa-utensils'></i>,#198754,台灣小吃 旗魚麵線，旗魚湯,&#127836; (1碗),旗魚麵線,台式,徐天麟,202基隆市中正區信四路2之3號,02 2426 3972,POINT (121.746857 25.133381),293,C01,10017010,基隆市,中正區,Zhongzheng District,C,10017,基隆市,中正區
107,25.127236,121.750743,<i class='fas fa-utensils'></i>,#198754,平實豆漿,&#127836; (1碗),豆漿＋燒餅,台式,曹銘宗,200基隆市仁愛區劉銘傳路22號,,POINT (121.750743 25.127236),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
108,25.128807,121.7442,<i class='fas fa-utensils'></i>,#198754,老牌全家福酒釀湯圓元宵,&#127836; (1碗),芝麻湯圓,台式,莫莉,200基隆市仁愛區愛四路52號門前號,02 2425 0784,POINT (121.7442 25.128807),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
109,25.132504,121.745961,<i class='fas fa-utensils'></i>,#198754,阿萬餛飩,&#127836; (1碗),餛飩湯,台式,曹銘宗,202基隆市中正區信三路6號,02 2425 1414,POINT (121.745961 25.132504),293,C01,10017010,基隆市,中正區,Zhongzheng District,C,10017,基隆市,中正區
110,25.127637,121.74714,<i class='fas fa-utensils'></i>,#198754,信奕原汁牛肉麵,&#127836; (1碗),牛肉麵,台式,葉怡蘭,200基隆市仁愛區仁二路126號號旁,02 2422 7285,POINT (121.74714 25.127637),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
111,25.127775,121.752434,<i class='fas fa-utensils'></i>,#198754,活力站蒟蒻屋,&#127836; (1碗),剉冰,台式,曹銘宗,200基隆市仁愛區仁一路133號,02 2422 9000,POINT (121.752434 25.127775),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
112,25.128873,121.743806,<i class='fas fa-utensils'></i>,#198754,紀家豬腳原汁專家,&#127836; (1碗),豬腳湯,台式,葉裕清,200基隆市仁愛區愛四路29號2樓,0905 829 713,POINT (121.743806 25.128873),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
113,25.128417,121.743105,<i class='fas fa-utensils'></i>,#198754,基隆廟口21號魯排骨飯,&#127836; (1碗),魯排骨飯,台式,江振誠,200基隆市仁愛區仁三路27-1號廟口21號攤,,POINT (121.743105 25.128417),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
114,25.128493,121.743123,<i class='fas fa-utensils'></i>,#198754,基隆廟口30號攤 蝦仁羹 魯肉飯,&#127836; (1碗),滷豬腳,台式,迪拉,200基隆市仁愛區仁三路42-64號,,POINT (121.743123 25.128493),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
115,25.128478,121.743326,<i class='fas fa-utensils'></i>,#198754,基隆廟口咖哩飯,&#127836; (1碗),咖哩飯,台式,莫莉,200基隆市仁愛區仁三路46號,,POINT (121.743326 25.128478),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
116,25.132186,121.734247,<i class='fas fa-utensils'></i>,#198754,郭家巷頭粿仔湯,&#127836; (1碗),粿仔湯,台式,曹銘宗,204基隆市安樂區安一路100巷31號,02 2423 5740,POINT (121.734247 25.132186),295,C06,10017060,基隆市,安樂區,Anle District,C,10017,基隆市,安樂區
117,25.145957,121.739394,<i class='fas fa-utensils'></i>,#198754,廣東汕頭牛肉店,&#127836; (1碗),炒牛肉麵＆牛肉切盤＆牛肉湯,台式,鍾愛銅板美食的貪吃鬼,203基隆市中山區復旦路17之6號,02 2423 3797,POINT (121.739394 25.145957),294,C05,10017050,基隆市,中山區,Zhongshan District,C,10017,基隆市,中山區
118,25.128116,121.740764,<i class='fas fa-utensils'></i>,#198754,德基純手工水餃,&#127836; (1碗),三寶水餃,台式,曹銘宗,200基隆市仁愛區愛一路8號2號D57,02 2425 5488,POINT (121.740764 25.128116),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
119,25.129547,121.740432,<i class='fas fa-utensils'></i>,#198754,慶安宮廟口咖哩炒麵炒飯,&#127836; (1碗),什錦咖哩炒麵,台式,Hally Chen,200基隆市仁愛區孝二路76巷6號,02 2428 0693,POINT (121.740432 25.129547),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
120,25.136437,121.74086,<i class='fas fa-utensils'></i>,#198754,潤潤潤餅,&#127836; (1碗),紅麴叉燒潤餅、生菜蝦鬆潤餅,台式,曹銘宗,203基隆市中山區中山一路299號,02 2428 6858,POINT (121.74086 25.136437),294,C05,10017050,基隆市,中山區,Zhongshan District,C,10017,基隆市,中山區
121,25.127783,121.741861,<i class='fas fa-utensils'></i>,#198754,鹹湯圓豬肝腸（大觀圓）,&#127836; (1碗),豬肝腸,台式,曹銘宗,20044基隆市仁愛區仁四路31號,02 2428 8158,POINT (121.741861 25.127783),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
122,25.128451,121.743461,<i class='fas fa-utensils'></i>,#198754,鹹粥魷魚雞捲 基隆廟口42號,&#127836; (1碗),甜不辣,台式,Nobu Lee,200基隆市仁愛區仁三路42號攤位,0919 394 496,POINT (121.743461 25.128451),291,C04,10017040,基隆市,仁愛區,Ren'ai District,C,10017,基隆市,仁愛區
123,25.065055,121.49795,<i class='fas fa-utensils'></i>,#198754,三重老牌甜不辣專賣店,&#127836; (1碗),甜不辣,台式,米力,241新北市三重區信義西街1巷9號,02 2980 3471,POINT (121.49795 25.065055),305,F05,65000020,新北市,三重區,Sanchong District,F,65000,新北市,三重區
124,25.066705,121.501049,<i class='fas fa-utensils'></i>,#198754,三重橋頭麵線,&#127836; (1碗),蚵仔大腸麵線、滷大腸,台式,米力,241新北市三重區長生街69號,0968 769 765,POINT (121.501049 25.066705),305,F05,65000020,新北市,三重區,Sanchong District,F,65000,新北市,三重區
125,25.059593,121.495301,<i class='fas fa-utensils'></i>,#198754,小貨車 草地涼麵,&#127836; (1碗),涼麵、綜合味噌湯,台式,米力,241新北市三重區光興街108號,02 2973 5005,POINT (121.495301 25.059593),305,F05,65000020,新北市,三重區,Sanchong District,F,65000,新北市,三重區
126,24.978909,121.541095,<i class='fas fa-utensils'></i>,#198754,山東水餃王,&#127836; (1碗),韭菜山東水餃,台式,陳志煌,231新北市新店區民族路20號,02 2913 4635,POINT (121.541095 24.978909),210,F07,65000060,新北市,新店區,Xindian District,F,65000,新北市,新店區
127,24.99415,121.503242,<i class='fas fa-utensils'></i>,#198754,川味麵食,&#127836; (1碗),紅油抄手湯,台式,高靜玉,235新北市中和區景平路522號,0911 007 706,POINT (121.503242 24.99415),298,F18,65000030,新北市,中和區,Zhonghe District,F,65000,新北市,中和區
128,25.064565,121.500883,<i class='fas fa-utensils'></i>,#198754,太順油飯,&#127836; (1碗),油飯、赤肉湯,台式,米力,241新北市三重區中央北路27巷1號口,02 2975 4270,POINT (121.500883 25.064565),305,F05,65000020,新北市,三重區,Sanchong District,F,65000,新北市,三重區
129,24.953755,121.348267,<i class='fas fa-utensils'></i>,#198754,方記臭豆腐,&#127836; (1碗),臭豆腐,台式,王耀邦,239新北市鶯歌區建國路232巷1號,0932 948 802,POINT (121.348267 24.953755),297,F16,65000080,新北市,鶯歌區,Yingge District,F,65000,新北市,鶯歌區
130,24.974913,121.537019,<i class='fas fa-utensils'></i>,#198754,王德福滷担,&#127836; (1碗),番茄搶鍋麵＆排骨菜飯,台式,鍾愛銅板美食的貪吃鬼,231新北市新店區中正路324號,02 2910 0231,POINT (121.537019 24.974913),210,F07,65000060,新北市,新店區,Xindian District,F,65000,新北市,新店區
131,25.170357,121.439232,<i class='fas fa-utensils'></i>,#198754,半坪屋手工糯米腸,&#127836; (1碗),糯米腸,台式,葉裕清,251新北市淡水區中正路135-1號,02 2622 4264,POINT (121.439232 25.170357),256,F27,65000100,新北市,淡水區,Tamsui District,F,65000,新北市,淡水區
132,25.064157,121.497477,<i class='fas fa-utensils'></i>,#198754,朱記花枝羹,&#127836; (1碗),花枝羹,台式,洪子仁,241新北市三重區正義北路51號,02 2985 8256,POINT (121.497477 25.064157),305,F05,65000020,新北市,三重區,Sanchong District,F,65000,新北市,三重區
133,25.01598,121.456807,<i class='fas fa-utensils'></i>,#198754,老張牛肉麵,&#127836; (1碗),牛肉麵細麵＋小菜切盤,台式,婁峻碩,新北市板橋區中正路136號,0987 187 010,POINT (121.456807 25.01598),301,F14,65000010,新北市,板橋區,Banqiao District,F,65000,新北市,板橋區
134,25.006123,121.454605,<i class='fas fa-utensils'></i>,#198754,快樂QQ球,&#127836; (1碗),QQ球,台式,Lulu黃路梓茵,220新北市板橋區南雅東路1-7號,,POINT (121.454605 25.006123),301,F14,65000010,新北市,板橋區,Banqiao District,F,65000,新北市,板橋區
135,25.062494,121.495484,<i class='fas fa-utensils'></i>,#198754,我家餐廳,&#127836; (1碗),牛肉燴飯,中式,米力,241新北市三重區大同北路19號,,POINT (121.495484 25.062494),305,F05,65000020,新北市,三重區,Sanchong District,F,65000,新北市,三重區
136,25.009256,121.510602,<i class='fas fa-utensils'></i>,#198754,官記純檸檬泰式涼拌木瓜,&#127836; (1碗),泰式涼拌木瓜絲,泰式,Hally Chen,234新北市永和區永平路180巷1號,,POINT (121.510602 25.009256),209,F33,65000040,新北市,永和區,Yonghe District,F,65000,新北市,永和區
137,25.062656,121.495503,<i class='fas fa-utensils'></i>,#198754,店小二魯肉飯,&#127836; (1碗),魯肉飯,台式,陳志煌,241新北市三重區大同北路27號,02 2984 5567,POINT (121.495503 25.062656),305,F05,65000020,新北市,三重區,Sanchong District,F,65000,新北市,三重區
138,25.008394,121.520655,<i class='fas fa-utensils'></i>,#198754,南川麵館,&#127836; (1碗),酸辣炸醬麵＋各式小菜,台式,米力,234新北市永和區竹林路208號,02 2926 6862,POINT (121.520655 25.008394),209,F33,65000040,新北市,永和區,Yonghe District,F,65000,新北市,永和區
139,25.067347,121.498097,<i class='fas fa-utensils'></i>,#198754,柳家麻油雞,&#127836; (1碗),麻油麵線、雞塊湯、米血,台式,米力,241新北市三重區文化北路156-3號,0933 061 496,POINT (121.498097 25.067347),305,F05,65000020,新北市,三重區,Sanchong District,F,65000,新北市,三重區
140,24.978512,121.551212,<i class='fas fa-utensils'></i>,#198754,家有璽事-排骨吐司,&#127836; (1碗),排骨吐司＆蜜香紅茶,台式,鍾愛銅板美食的貪吃鬼,231新北市新店區寶橋路218號,,POINT (121.551212 24.978512),210,F07,65000060,新北市,新店區,Xindian District,F,65000,新北市,新店區
141,25.010329,121.457542,<i class='fas fa-utensils'></i>,#198754,高記生炒魷魚,&#127836; (1碗),生炒魷魚,台式,Nick Wu吳盈憲,220新北市板橋區宮口街28號,02 2960 3503,POINT (121.457542 25.010329),301,F14,65000010,新北市,板橋區,Banqiao District,F,65000,新北市,板橋區
142,25.173848,121.437422,<i class='fas fa-utensils'></i>,#198754,淡水文化阿給,&#127836; (1碗),阿給,台式,江振誠,251新北市淡水區真理街6-4號,02 2621 3004,POINT (121.437422 25.173848),256,F27,65000100,新北市,淡水區,Tamsui District,F,65000,新北市,淡水區
143,25.072408,121.487047,<i class='fas fa-utensils'></i>,#198754,無名刈包,&#127836; (1碗),刈包,台式,愛吃鬼芸芸,241新北市三重區自強路三段25號1樓,0919 790 806,POINT (121.487047 25.072408),305,F05,65000020,新北市,三重區,Sanchong District,F,65000,新北市,三重區
144,25.027593,121.430909,<i class='fas fa-utensils'></i>,#198754,新莊羊肉榮,&#127836; (1碗),羊肉飯加半熟荷包蛋,台式,謝維智,242新北市新莊區後港一路160號,0958 830 003,POINT (121.430909 25.027593),303,F01,65000050,新北市,新莊區,Xinzhuang District,F,65000,新北市,新莊區
145,24.99156,121.525584,<i class='fas fa-utensils'></i>,#198754,蔡家牛肉麵,&#127836; (1碗),紅燒牛肉麵,台式,愛吃鬼芸芸,235新北市中和區秀朗路三段153巷16弄12號,,POINT (121.525584 24.99156),298,F18,65000030,新北市,中和區,Zhonghe District,F,65000,新北市,中和區
146,24.973311,121.539621,<i class='fas fa-utensils'></i>,#198754,賴岡山羊肉,&#127836; (1碗),魯肉飯＆羊肉湯,台式,鍾愛銅板美食的貪吃鬼,231新北市新店區中正路244-4號1 樓,0922 579 320,POINT (121.539621 24.973311),210,F07,65000060,新北市,新店區,Xindian District,F,65000,新北市,新店區
147,25.004098,121.516441,<i class='fas fa-utensils'></i>,#198754,北方牛肉麵,&#127836; (1碗),牛肉麵加牛肉,中式,廖小子,234新北市永和區永貞路141號,02 8660 5128,POINT (121.516441 25.004098),209,F33,65000040,新北市,永和區,Yonghe District,F,65000,新北市,永和區
148,24.805714,120.965727,<i class='fas fa-utensils'></i>,#198754,許二姐,&#127836;&#127836; (2碗),炒鴨血、鴨肉湯麵,台式,葉怡蘭、4foodie,300新竹市北區北門街35號,03 524 6574,POINT (120.965727 24.805714),274,O02,10018020,新竹市,北區,North District,O,10018,新竹市,北區
149,24.804607,120.967229,<i class='fas fa-utensils'></i>,#198754,原夜市鴨肉麵（中央路）,&#127836;&#127836; (2碗),鴨肉麵、煮鴨肉米粉麵,台式,沈方正、Hally Chen,300新竹市東區中央路30號,03 523 1862,POINT (120.967229 24.804607),358,O01,10018010,新竹市,東區,East District,O,10018,新竹市,東區
150,24.808528,120.933745,<i class='fas fa-utensils'></i>,#198754,鷹王肉圓,&#127836;&#127836; (2碗),肉圓,台式,吳庭安、溫士凱,300新竹市香山區延平路二段350號,0933 794 992,POINT (120.933745 24.808528),275,O03,10018030,新竹市,香山區,Xiangshan District,O,10018,新竹市,香山區
151,24.946062,121.219727,<i class='fas fa-utensils'></i>,#198754,大香酥香雞排,&#127836; (1碗),獨家肉串,台式,廖乙哲,324桃園市平鎮區和平路197號,03 428 2391,POINT (121.219727 24.946062),365,H10,68000100,桃園市,平鎮區,Pingzhen District,H,68000,桃園市,平鎮區
152,24.959701,121.222411,<i class='fas fa-utensils'></i>,#198754,好鮮屋米粉湯,&#127836; (1碗),米粉湯,台式,廖乙哲,320桃園市中壢區中美路二段65號,03 427 8845,POINT (121.222411 24.959701),356,H03,68000020,桃園市,中壢區,Zhongli District,H,68000,桃園市,中壢區
153,24.992244,121.308223,<i class='fas fa-utensils'></i>,#198754,林記水煎包,&#127836; (1碗),水煎包,台式,鍾愛銅板美食的貪吃鬼,330桃園市桃園區文化街28號,,POINT (121.308223 24.992244),287,H01,68000010,桃園市,桃園區,Taoyuan District,H,68000,桃園市,桃園區
154,25.018507,121.295001,<i class='fas fa-utensils'></i>,#198754,虎堡王台灣漢堡店,&#127836; (1碗),傳香控肉堡,台式,曹銘宗,330桃園市桃園區中埔六街167號,03 358 8082,POINT (121.295001 25.018507),287,H01,68000010,桃園市,桃園區,Taoyuan District,H,68000,桃園市,桃園區
155,24.956534,121.217139,<i class='fas fa-utensils'></i>,#198754,新明老牌牛肉麵,&#127836; (1碗),牛肉麵,台式,廖乙哲,320桃園市中壢區民權路65號,03 493 5896,POINT (121.217139 24.956534),356,H03,68000020,桃園市,中壢區,Zhongli District,H,68000,桃園市,中壢區
156,24.959911,121.214868,<i class='fas fa-utensils'></i>,#198754,簡師傅麻辣臭豆腐,&#127836; (1碗),麻辣臭豆腐,台式,廖乙哲,320桃園市中壢區新明路101號,,POINT (121.214868 24.959911),356,H03,68000020,桃園市,中壢區,Zhongli District,H,68000,桃園市,中壢區
157,24.805372,120.970443,<i class='fas fa-utensils'></i>,#198754,一二三台灣料理,&#127836; (1碗),台式熱炒,台式,吳庭安,300新竹市東區府後街17號,03 522 5670,POINT (120.970443 24.805372),358,O01,10018010,新竹市,東區,East District,O,10018,新竹市,東區
158,24.755053,121.095423,<i class='fas fa-utensils'></i>,#198754,一哥炊粉,&#127836; (1碗),湯炊粉粄條,客家,溫士凱,307新竹縣芎林鄉福昌街621號,03 592 5635,POINT (121.095423 24.755053),35,J10,10004070,新竹縣,芎林鄉,Qionglin Township,J,10004,新竹縣,芎林鄉
159,24.804753,120.956071,<i class='fas fa-utensils'></i>,#198754,三廠炸醬麵,&#127836; (1碗),炸醬乾麵,台式,吳庭安,300新竹市北區延平路一段178號,03 526 7349,POINT (120.956071 24.804753),274,O02,10018020,新竹市,北區,North District,O,10018,新竹市,北區
160,24.803561,120.966395,<i class='fas fa-utensils'></i>,#198754,中央市場糯米水餃,&#127836; (1碗),糯米水餃,台式,顧瑋,300新竹市東區西門街2巷2號中央市場 92 攤,,POINT (120.966395 24.803561),274,O02,10018020,新竹市,北區,North District,O,10018,新竹市,北區
161,24.795336,120.97207,<i class='fas fa-utensils'></i>,#198754,竹蓮肉圓,&#127836; (1碗),肉圓,台式,徐天麟,300新竹市東區西大路28號一樓,03 561 2856,POINT (120.97207 24.795336),358,O01,10018010,新竹市,東區,East District,O,10018,新竹市,東區
162,24.805128,120.953597,<i class='fas fa-utensils'></i>,#198754,延平大飯店,&#127836; (1碗),雞捲炸肉等各式小菜,台式,吳庭安,300新竹市北區延平路一段240號,03 522 1026,POINT (120.953597 24.805128),274,O02,10018020,新竹市,北區,North District,O,10018,新竹市,北區
163,24.738698,121.090762,<i class='fas fa-utensils'></i>,#198754,東風客家米食中心,&#127836; (1碗),炒米苔目,客家,劉克襄,310新竹縣竹東鎮大同路114號,03 596 1555,POINT (121.090762 24.738698),31,J02,10004020,新竹縣,竹東鎮,Zhudong Township,J,10004,新竹縣,竹東鎮
164,24.804568,120.965861,<i class='fas fa-utensils'></i>,#198754,林家冰店,&#127836; (1碗),冰品,台式,吳庭安,300新竹市北區中山路75號 300號,0936 128 686,POINT (120.965861 24.804568),274,O02,10018020,新竹市,北區,North District,O,10018,新竹市,北區
165,24.78551,121.183212,<i class='fas fa-utensils'></i>,#198754,欣園客家美食坊-客家菜包,&#127836; (1碗),客家菜包,客家,溫士凱,306新竹縣關西鎮中豐新路135號,03 587 9576,POINT (121.183212 24.78551),33,J03,10004040,新竹縣,關西鎮,Guanxi Township,J,10004,新竹縣,關西鎮
166,24.73801,121.087431,<i class='fas fa-utensils'></i>,#198754,阿胖豆漿,&#127836; (1碗),粄條蛋餅,客家,溫士凱,310新竹縣竹東鎮東寧路三段56號,03 595 2757,POINT (121.087431 24.73801),31,J02,10004020,新竹縣,竹東鎮,Zhudong Township,J,10004,新竹縣,竹東鎮
167,24.804438,120.965787,<i class='fas fa-utensils'></i>,#198754,柳家肉燥飯,&#127836; (1碗),肉燥飯,台式,溫士凱,300新竹市北區中山路75號,,POINT (120.965787 24.804438),274,O02,10018020,新竹市,北區,North District,O,10018,新竹市,北區
168,24.737787,121.08981,<i class='fas fa-utensils'></i>,#198754,張記美食河南手工扯麵,&#127836; (1碗),客家牛汶水,客家,溫士凱,310新竹縣竹東鎮信義路157號1樓,0932 288 585,POINT (121.08981 24.737787),31,J02,10004020,新竹縣,竹東鎮,Zhudong Township,J,10004,新竹縣,竹東鎮
169,24.745829,121.136847,<i class='fas fa-utensils'></i>,#198754,鹿寮坑黃屋伙房,&#127836; (1碗),牛汶水,客家,陳明珠,307新竹縣芎林鄉222號,0952 201 313,POINT (121.136847 24.745829),35,J10,10004070,新竹縣,芎林鄉,Qionglin Township,J,10004,新竹縣,芎林鄉
170,24.737614,121.088359,<i class='fas fa-utensils'></i>,#198754,新福飲食店,&#127836; (1碗),桔葉燻粉腸,客家,溫士凱,310新竹縣竹東鎮商華街41巷10號,03 596 2462,POINT (121.088359 24.737614),31,J02,10004020,新竹縣,竹東鎮,Zhudong Township,J,10004,新竹縣,竹東鎮
171,24.792054,121.176658,<i class='fas fa-utensils'></i>,#198754,源式仙草,&#127836; (1碗),仙草茶,台式,陳明珠,306新竹縣關西鎮南京路20號,0910 958 327,POINT (121.176658 24.792054),33,J03,10004040,新竹縣,關西鎮,Guanxi Township,J,10004,新竹縣,關西鎮
172,24.806782,120.965688,<i class='fas fa-utensils'></i>,#198754,葉大粒粉圓,&#127836; (1碗),大粒粉圓,台式,吳庭安,300新竹市北區北門街83號,03 525 6763,POINT (120.965688 24.806782),274,O02,10018020,新竹市,北區,North District,O,10018,新竹市,北區
173,24.700611,121.055987,<i class='fas fa-utensils'></i>,#198754,鄒記菜包,&#127836; (1碗),菜包,客家,陳明珠,314新竹縣北埔鄉中正路49號,03 580 5835,POINT (121.055987 24.700611),37,J12,10004090,新竹縣,北埔鄉,Beipu Township,J,10004,新竹縣,北埔鄉
174,24.804005,120.966711,<i class='fas fa-utensils'></i>,#198754,鄭家祖傳特製雞蛋糕,&#127836; (1碗),雞蛋糕,台式,吳庭安,300新竹市北區中央路7號,0913 166 695,POINT (120.966711 24.804005),274,O02,10018020,新竹市,北區,North District,O,10018,新竹市,北區
175,24.792814,121.177427,<i class='fas fa-utensils'></i>,#198754,ㄤ咕麵,&#127836; (1碗),ㄤ咕麵,客家,溫士凱,306新竹縣關西鎮光復路35號,03 587 5541,POINT (121.177427 24.792814),33,J03,10004040,新竹縣,關西鎮,Guanxi Township,J,10004,新竹縣,關西鎮
176,24.698612,121.058287,<i class='fas fa-utensils'></i>,#198754,Bebu 春嬌粄條,&#127836; (1碗),燥粄條,客家,溫士凱,314新竹縣北埔鄉公園街16巷1號,0965 609 777,POINT (121.058287 24.698612),37,J12,10004090,新竹縣,北埔鄉,Beipu Township,J,10004,新竹縣,北埔鄉
177,24.552566,120.81784,<i class='fas fa-utensils'></i>,#198754,小木屋水晶餃,&#127836; (1碗),水晶餃,客家,陳明珠,360苗栗縣苗栗市新苗街59號,03 732 7022,POINT (120.81784 24.552566),47,K01,10005010,苗栗縣,苗栗市,Miaoli City,K,10005,苗栗縣,苗栗市
178,24.485485,120.787081,<i class='fas fa-utensils'></i>,#198754,小食光麵堂,&#127836; (1碗),水晶餃,客家,顧瑋,366苗栗縣銅鑼鄉中正路76號,03 798 1005,POINT (120.787081 24.485485),51,K05,10005100,苗栗縣,銅鑼鄉,Tongluo Township,K,10005,苗栗縣,銅鑼鄉
179,24.60069,120.998652,<i class='fas fa-utensils'></i>,#198754,東棧水餃館,&#127836; (1碗),酸辣湯,台式,陳志煌,353苗栗縣南庄鄉中正路73號,03 782 4965,POINT (120.998652 24.60069),11,K14,10005110,苗栗縣,南庄鄉,Nanzhuang Township,K,10005,苗栗縣,南庄鄉
180,24.542146,120.922444,<i class='fas fa-utensils'></i>,#198754,阿妹狗客家米食,&#127836; (1碗),水粄,客家,陳明珠,354苗栗縣獅潭鄉58-2,03 793 1173,POINT (120.922444 24.542146),56,K17,10005170,苗栗縣,獅潭鄉,Shitan Township,K,10005,苗栗縣,獅潭鄉
