index,緯度,經度,圖示,顏色,名稱,得獎菜色,地　　址,電　　話,縣市,鄉鎮區,評價,碗　　數,網址
103,22.62225431,120.2966272,<i class='fas fa-utensils'></i>,#198754,牛老大涮牛肉 （自強二路）,牛肉湯、炒牛筋,801高雄市前金區自強二路18號,07 281 9196,高雄市,前金區,2596,4.3,https://www.nldrest1996.com.tw/h/Product?key=v6b6k
104,22.63193493,120.2850397,<i class='fas fa-utensils'></i>,#198754,北港蔡三代筒仔米糕 （鹽埕）,筒仔米糕、蒸蛋湯,803高雄市鹽埕區河西路167號,07 551 7443,高雄市,鹽埕區,5194,4.4,nan
105,22.6159447,120.2968534,<i class='fas fa-utensils'></i>,#198754,菜粽李,招牌菜粽,802高雄市苓雅區成功一路159號,07 331 3086,高雄市,苓雅區,917,4.3,https://www.facebook.com/CaiZongLiZongShop?mibextid=LQQJ4d
106,22.63059087,120.2931609,<i class='fas fa-utensils'></i>,#198754,昭明海產家庭料理,蒜仔肉、蛤蠣銀芽,801高雄市前金區自強一路53號,07 241 2550,高雄市,前金區,268,3.7,https://www.facebook.com/ZhaoMingRice/
107,22.66462917,120.3095829,<i class='fas fa-utensils'></i>,#198754,正宗鴨肉飯,手切鴨肉腿飯、綜合下水湯、豆菜系列,813高雄市左營區裕誠路245號,07 556 6428,高雄市,左營區,1907,4.2,https://zh-tw.facebook.com/people/%E6%AD%A3%E5%AE%97%E9%B4%A8%E8%82%89%E9%A3%AF/100063858916314/
108,22.62803026,120.3078094,<i class='fas fa-utensils'></i>,#198754,春蘭割包,綜合割包,800高雄市新興區復興一路5號,07 201 7806,高雄市,新興區,1510,4.2,https://www.facebook.com/people/Customer-service/100054654001375/
109,22.62722429,120.2954388,<i class='fas fa-utensils'></i>,#198754,前金肉燥飯,肉燥飯、半熟鴨蛋、滷豆腐,801高雄市前金區大同二路26號,07 272 7263,高雄市,前金區,1760,4.4,https://www.facebook.com/people/%E5%89%8D%E9%87%91%E8%82%89%E7%87%A5%E9%A3%AF/100063744920382/
110,22.75469558,120.3122181,<i class='fas fa-utensils'></i>,#198754,橋仔頭黃家肉燥飯 （橋頭）,肉燥飯、綜合切料肉燥飯、肉羹,825高雄市橋頭區橋南路106號,07 612 3253,高雄市,橋頭區,2155,4.1,https://www.facebook.com/people/%E6%A9%8B%E4%BB%94%E9%A0%AD%E9%BB%83%E5%AE%B6%E8%82%89%E7%87%A5%E9%A3%AF/100064107669820/
111,22.65123171,120.2883581,<i class='fas fa-utensils'></i>,#198754,貳哥食堂,化骨醬燒秋刀魚、肉燥飯、豬油拌飯、千絲芋香糕,804高雄市鼓山區青海路145號,07 554 1123,高雄市,鼓山區,597,4.4,https://www.facebook.com/brother075541123/
112,22.63475544,120.2915466,<i class='fas fa-utensils'></i>,#198754,侯記鴨肉飯,當歸鴨肉湯、鴨肉飯、鴨肉切盤,807高雄市三民區自強一路201號,07 282 7588,高雄市,三民區,2011,4.2,nan
113,22.88540796,120.4814498,<i class='fas fa-utensils'></i>,#198754,秀明豬心冬粉,月見肉燥飯、豬舌,842高雄市旗山區永平街41號,07 662 4625,高雄市,旗山區,903,4.4,https://www.facebook.com/sm3542/
114,22.87775762,120.2519903,<i class='fas fa-utensils'></i>,#198754,湖東牛肉館,涮涮鍋、牛腩,829高雄市湖內區中山路一段107號,07 693 0466,高雄市,湖內區,2753,4.5,https://linktr.ee/HUDONG_BEEFHOTPOT
115,22.66461492,120.3043119,<i class='fas fa-utensils'></i>,#198754,弘記肉燥飯舖,肉燥飯、半熟蛋、滷白菜、豬腳筋,813高雄市左營區立文路96號,07 558 3777,高雄市,左營區,3647,4.6,https://page.line.me/792wyejz?openQrModal=true
116,22.89373782,120.5141985,<i class='fas fa-utensils'></i>,#198754,阿香的廚房,小米粽、梅汁雞、梅汁豆腐,843高雄市美濃區中山路二段629號,nan,高雄市,美濃區,2080,4.4,https://inline.app/booking/ibu_kitchen/-NTMk8B3wDb-ynsZEILl
117,22.79854316,120.2840989,<i class='fas fa-utensils'></i>,#198754,舊市羊肉 （岡山）,當歸羊肉爐、白切羊肉、苦瓜羊肉,820高雄市岡山區河華路111號,07 625 8151,高雄市,岡山區,5323,4.1,https://www.facebook.com/Joes.com.tw/
118,22.60978518,120.3432494,<i class='fas fa-utensils'></i>,#198754,老爺美食館 （鳳山）,焦糖燻鴨、香茅煎肉、綜合魚湯,830高雄市鳳山區海洋一路54號,07 765 8430,高雄市,鳳山區,625,4.3,https://www.facebook.com/people/%E8%80%81%E7%88%BA%E7%BE%8E%E9%A3%9F%E9%A4%A8-%E6%B5%B7%E6%B4%8B%E5%BA%97/100063627443016/
119,22.64191431,120.3417905,<i class='fas fa-utensils'></i>,#198754,良佳豬腳,豬腳、海魚料理、麵食、湯品,807高雄市三民區陽明路229號,07 392 5533,高雄市,三民區,233,4.7,https://liangjiazhujiao.weebly.com/
120,22.75433421,120.3123317,<i class='fas fa-utensils'></i>,#198754,廖記米糕,米糕、四神湯、麵線,825高雄市橋頭區橋南路119號,07 612 8319,高雄市,橋頭區,502,4.1,nan
121,22.65131786,120.2870023,<i class='fas fa-utensils'></i>,#198754,賣?順,老薑炒雞腿,804高雄市鼓山區青海路173號,07 553 0668,高雄市,鼓山區,446,4.1,https://zh-tw.facebook.com/pages/%E8%B3%A3%E5%A1%A9%E9%A0%86/573884699301246
122,22.62840424,120.3105974,<i class='fas fa-utensils'></i>,#198754,米院子油飯,鴨肉油飯、芋頭排骨湯,800高雄市新興區南海街30號,07 222 6699,高雄市,新興區,890,4.8,https://www.facebook.com/people/%E7%B1%B3%E9%99%A2%E5%AD%90%E6%B2%B9%E9%A3%AF/100070339880038/
123,22.64068923,120.3074834,<i class='fas fa-utensils'></i>,#198754,老新臺菜 （九如二路）,不設菜單,807高雄市三民區九如二路227號,07 313 3077,高雄市,三民區,6060,4.6,https://www.facebook.com/OldNewTaiwaneseCuisine
124,22.61546431,120.3168635,<i class='fas fa-utensils'></i>,#198754,小燉食室,剝皮辣椒蛤蠣雞湯、青檸香茶,806高雄市前鎮區廣西路226號,0906 303 309,高雄市,前鎮區,271,4.5,https://www.facebook.com/people/%E5%B0%8F%E7%87%89%E9%A3%9F%E5%AE%A4/100067018075082/
125,22.61788803,120.3014149,<i class='fas fa-utensils'></i>,#198754,泰元,炒河粉、泰式黑咖啡、泰咖啡,802高雄市苓雅區苓雅二路53號,?0976 009 356,高雄市,苓雅區,239,4.7,https://www.facebook.com/ichipadthai?mibextid=LQQJ4d
126,22.72425377,120.3277538,<i class='fas fa-utensils'></i>,#198754,楊寶寶蒸餃 （朝明路）,花素蒸餃、捲餅,811高雄市楠梓區朝明路106號,07 351 3322,高雄市,楠梓區,12612,4.4,https://yangbaobaotw.com/
